тип населенного пункта;численность населения;год рождения;возраст;образование;семейное положение;пол;день рождения;месяц рождения;жили в другом городе;национальность;трудоустройство;удовлетворенность работой;удовлетворенность оплатой;отрасль где работаете;месячная зарплата;были ли в отпуске последние 12 месяцев;удовлетворенность материальным положением;сколько классов закончили;в какой школе учились;вера;получаете пенсию;испытывате чувство одиночества;вес;рост;пульс;размер семьи;вы счастливы?
Город;26830;1961;56;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;28;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;6800;Да;Скорее удовлетворены;11;В вечерней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;76;154;79;1;Нет
Село;590;1978;39;техникум с дипломом;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;30;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СЕЛЬСКОЕ ХОЗЯЙСТВО;7000;Нет;И да, и нет;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;65;167;62;2;Да
Город;31722;1989;27;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;25;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ОРГАНЫ УПРАВЛЕНИЯ;8000;Нет;ЗАТРУДНЯЮСЬ ОТВЕТИТЬ;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Часто;63;163;69;3;Да
ПГТ;4790;1959;58;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;4;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;9000;Нет;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;57;170;81;1;Да
Село;28362;1997;20;техникум с дипломом;Никогда в браке не состояли;ЖЕНСКИЙ;20;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;12000;Нет;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;57;172;78;3;Нет
Областной центр;508887;1966;50;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;26;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;13500;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;67;165;66;1;Да
Город;61982;1983;34;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;18;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ;15000;Да;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;78;184;77;3;Да
Город;52817;1967;50;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;19;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;15000;Нет;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;85;172;56;1;Да
Село;1768;1983;34;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;5;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;16000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;57;165;74;2;Да
Город;187961;1945;72;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;10;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;РЕКЛАМА, МАРКЕТИНГ;18000;Нет;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;78;178;62;2;Да
Областной центр;508887;1968;49;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;31;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;20000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;84;187;60;3;Да
Областной центр;1143535;1951;66;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;22;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ;20000;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;72;161;84;5;Нет
Село;2305;1979;38;10 и более классов школы и какое-либо професс. обр. с дипломом;Разведены и в браке не состоите;ЖЕНСКИЙ;24;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;СЕЛЬСКОЕ ХОЗЯЙСТВО;21000;Нет;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Часто;72;170;77;4;Да
Город;95854;1985;31;среднее образование - есть аттестат о ср. образовании;Живете вместе, но не зарегистрированы;МУЖСКОЙ;2;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;22000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;75;176;74;4;Да
Город;97296;1988;29;есть диплом о высшем образовании;Никогда в браке не состояли;МУЖСКОЙ;12;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;25000;Нет;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;67;176;72;1;Да
Областной центр;12325387;1963;54;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;23;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;26660;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;165;55;3;Да
Город;97384;1974;43;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;27;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ;30000;Да;Скорее удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;78;168;62;2;Да
Областной центр;744995;1973;44;аспирантура и т.п. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;11;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;НЕТ ОТВЕТА;30000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;61;165;69;1;Да
Город;31722;1983;34;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;5;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС;35000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;94;170;83;3;Да
ПГТ;7387;1979;38;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;12;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;50000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;102;172;84;5;Нет
Областной центр;12325387;1978;39;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;4;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОРГАНЫ УПРАВЛЕНИЯ;80000;Да;Не очень удовлетворены;11;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Практически никогда;70;178;70;3;Да
Село;154;1959;58;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;25;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;3000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;90;177;85;3;Да
Село;256;1960;57;10 и более классов школы и какое-либо професс. обр. с дипломом;Bдовец (вдова);ЖЕНСКИЙ;1;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;5000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;;;75;3;Да
